opera_id,dcTitle_opera,dcTitle_persona,column,data
69498,"Trio, vl,vlc,pf, op. 100, Mib, D 929","Schubert, Franz",relazione,compositore
69499,"Concerto, cor,archi, Fa","Händel, Georg Friedrich",relazione,compositore
69500,"Divertimento, archi, Fa, K 138","Mozart, Wolfgang Amadeus",relazione,compositore
69501,"Concerto, cor,2ob,2vl,vla,bc, Re, Hob.VIId 3","Haydn, Franz Joseph",relazione,compositore
69502,"Sei sonate a quattro, 2vl,vlc,cb","Rossini, Gioachino",relazione,compositore
69503,Adagio,"Nardini, Pietro",relazione,compositore
69504,"Gran duo concertant pour violon et contrebase avec accompaignement d'orchestre ou de piano, vl,cb,archi,pf,orch","Bottesini, Giovanni",relazione,compositore
69505,Macbeth,"Verdi, Giuseppe",relazione,compositore
69505,Macbeth,"Maffei, Andrea",relazione,librettista
69505,Macbeth,"Shakespeare, William",relazione,testo di
69505,Macbeth,"Piave, Francesco Maria",relazione,librettista
69506,Happy End,"Weill, Kurt",relazione,compositore
69507,Candide,"Bernstein, Leonard",relazione,compositore
69507,Candide,"Wilbur, Richard",relazione,librettista
69507,Candide,Voltaire,relazione,testo di
69508,"Kammerkonzert, pf,vl,13fiati","Berg, Alban",relazione,compositore
69509,"Sei Lieder, voce,strumenti, op. 14","Webern, Anton",relazione,compositore
69509,"Sei Lieder, voce,strumenti, op. 14","Trakl, Georg",relazione,librettista
69510,"Cinque Canoni, sp,cl,cl b, op. 16","Webern, Anton",relazione,compositore
69511,"Tre Canti popolari, voce,cl,cl basso,vl(o vla), op. 17","Webern, Anton",relazione,compositore
69512,"Ottetto, cl,fag,cor,2vl,vla,vlc,cb, op. 166, Fa, D 803","Schubert, Franz",relazione,compositore
69513,El retablo de Maese Pedro / Il teatrino di Mastro Pedro,"Cervantes, Miguel de",relazione,testo di
69513,El retablo de Maese Pedro / Il teatrino di Mastro Pedro,"De Falla, Manuel",relazione,compositore
69514,"Divertimento, 2vl,vla,bs, Sib, K 137","Mozart, Wolfgang Amadeus",relazione,compositore
69515,"Concerto, fl,ob,archi, Sol","Salieri, Antonio",relazione,compositore
69516,"Concerto, fl,archi n. 7, Mi min.","Devienne, Francois",relazione,compositore
69517,"Sinfonia, orch, La, K 201","Mozart, Wolfgang Amadeus",relazione,compositore
69518,Adagio e fuga,"Mozart, Wolfgang Amadeus",relazione,compositore
69519,"Quartetto, archi, Re min., K 421","Mozart, Wolfgang Amadeus",relazione,compositore
69520,"Quartetto, archi n. 19, Do, K 465, Dissonanzen-quartett","Mozart, Wolfgang Amadeus",relazione,compositore
69521,"Fragmente-stille, an Diotima, archi","Nono, Luigi",relazione,compositore
69522,"Officium breve, archi, op. 28","Kurtág, György",relazione,compositore
69523,"Quartetto, archi n. 5","Bartók, Béla",relazione,compositore
69524,"Sonata, vla,pf, Do min.","Mendelssohn-Bartholdy, Felix",relazione,compositore
69525,"Sonata, vla,pf, op. 147","Šostakovič, Dmitrij",relazione,compositore
