production_id,credit_type,person_id,person_name,person_role,work_title,performance_start_date,performance_end_date,year,date_text,first_location,first_venue,related_work_id,source_id
32461,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria,Drei Pintos,1975-02-25,1975-03-08,1975,25-02-1975 - 08-03-1975,Torino,Teatro Regio,,object_id_3294
32461,technical,8418,"Pedrazzoli, Milano",Calzature,Drei Pintos,1975-02-25,1975-03-08,1975,25-02-1975 - 08-03-1975,Torino,Teatro Regio,,object_id_3294
32461,technical,9341,"Sorrentino, Napoli",Parrucche,Drei Pintos,1975-02-25,1975-03-08,1975,25-02-1975 - 08-03-1975,Torino,Teatro Regio,,object_id_3294
32461,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Drei Pintos,1975-02-25,1975-03-08,1975,25-02-1975 - 08-03-1975,Torino,Teatro Regio,,object_id_3294
32462,artistic,3622,Carlo Piccinato,Regista,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32462,artistic,7110,Giuseppe Carbone,Coreografo,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32462,artistic,9606,Tito Varisco,Scenografo,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32462,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32462,technical,8418,"Pedrazzoli, Milano",Calzature,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32462,technical,9341,"Sorrentino, Napoli",Parrucche,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32462,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Faust,1975-03-14,1975-04-03,1975,14-03-1975 - 03-04-1975,Torino,Teatro Regio,40119,object_id_3301
32463,artistic,21073,Carlo Maestrini,Regista,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32463,artistic,3619,Ria Teresa Legnani,Coreografo,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32463,artistic,9255,Mischa Scandella,Scenografo,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32463,technical,8999,"Casa d’Arte Fiore, Milano",Sartoria,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32463,technical,8418,"Pedrazzoli, Milano",Calzature,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32463,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32463,technical,6441,"Teatro Regio, Torino",Parrucche,Forza del destino,1975-03-28,1975-04-26,1975,28-03-1975 - 26-04-1975,Torino,Teatro Regio,,object_id_3308
32464,artistic,7122,Beppe Menegatti,Regista,Giselle,1975-04-24,1975-05-06,1975,24-04-1975 - 06-05-1975,Torino,Teatro Regio,,object_id_3319
32464,artistic,9254,Milorad Mišković,Coreografo,Giselle,1975-04-24,1975-05-06,1975,24-04-1975 - 06-05-1975,Torino,Teatro Regio,,object_id_3319
32464,artistic,7447,Anna Anni,"Costumista,Scenografo",Giselle,1975-04-24,1975-05-06,1975,24-04-1975 - 06-05-1975,Torino,Teatro Regio,,object_id_3319
32465,artistic,9319,Aldo Masella,Regista,Carmen,1975-11-21,1976-01-04,1975,21-11-1975 - 04-01-1976,Torino,Teatro Regio,,object_id_3329
32465,artistic,9259,Giuliana Barabaschi,Coreografo,Carmen,1975-11-21,1976-01-04,1975,21-11-1975 - 04-01-1976,Torino,Teatro Regio,,object_id_3329
32465,technical,6441,"Teatro Regio, Torino",Parrucche,Carmen,1975-11-21,1976-01-04,1975,21-11-1975 - 04-01-1976,Torino,Teatro Regio,,object_id_3329
32465,technical,8418,"Pedrazzoli, Milano",Calzature,Carmen,1975-11-21,1976-01-04,1975,21-11-1975 - 04-01-1976,Torino,Teatro Regio,,object_id_3329
32465,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Carmen,1975-11-21,1976-01-04,1975,21-11-1975 - 04-01-1976,Torino,Teatro Regio,,object_id_3329
32466,artistic,5480,Giancarlo Sbragia,Regista,Comte Ory,1975-12-02,1975-12-13,1975,02-12-1975 - 13-12-1975,Torino,Teatro Regio,,object_id_3344
32466,artistic,9327,Alfredo Silbermann,"Costumista,Scenografo",Comte Ory,1975-12-02,1975-12-13,1975,02-12-1975 - 13-12-1975,Torino,Teatro Regio,,object_id_3344
32467,artistic,9333,Maria Francesca Siciliani,Regista,Tristano e Isotta,1976-01-20,1976-02-12,1976,20-01-1976 - 12-02-1976,Torino,Teatro Regio,42123,object_id_3351
32467,artistic,9334,Alberto Burri,"Costumista,Scenografo",Tristano e Isotta,1976-01-20,1976-02-12,1976,20-01-1976 - 12-02-1976,Torino,Teatro Regio,42123,object_id_3351
32467,technical,6441,"Teatro Regio, Torino",Parrucche,Tristano e Isotta,1976-01-20,1976-02-12,1976,20-01-1976 - 12-02-1976,Torino,Teatro Regio,42123,object_id_3351
32467,technical,8588,Casa d’arte Cerratelli,Sartoria,Tristano e Isotta,1976-01-20,1976-02-12,1976,20-01-1976 - 12-02-1976,Torino,Teatro Regio,42123,object_id_3351
32467,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature,Tristano e Isotta,1976-01-20,1976-02-12,1976,20-01-1976 - 12-02-1976,Torino,Teatro Regio,42123,object_id_3351
32468,artistic,9340,Vittorio Patané,Regista,Zauberflöte,1976-02-24,1976-03-09,1976,24-02-1976 - 09-03-1976,Napoli,Teatro San Carlo,,object_id_3358
32468,artistic,4237,Jean-Pierre Ponnelle,"Costumista,Scenografo",Zauberflöte,1976-02-24,1976-03-09,1976,24-02-1976 - 09-03-1976,Napoli,Teatro San Carlo,,object_id_3358
32468,technical,8418,"Pedrazzoli, Milano",Calzature,Zauberflöte,1976-02-24,1976-03-09,1976,24-02-1976 - 09-03-1976,Napoli,Teatro San Carlo,,object_id_3358
32468,technical,9341,"Sorrentino, Napoli",Parrucche,Zauberflöte,1976-02-24,1976-03-09,1976,24-02-1976 - 09-03-1976,Napoli,Teatro San Carlo,,object_id_3358
32469,artistic,9346,Jean Claude Riber,Regista,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,artistic,9259,Giuliana Barabaschi,Coreografo,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,artistic,8679,Josef Svoboda,Scenografo,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,artistic,8839,Jarmila Konečná-Ditrichová,Costumista,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,technical,6441,"Teatro Regio, Torino","Realizzazione,Parrucche",Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,technical,7167,"Pompei 2000, Roma",Calzature,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32469,technical,28454,"L. Cantini & C., Roma",Sartoria,Turandot,1976-03-17,1976-04-24,1976,17-03-1976 - 24-04-1976,Torino,Teatro Regio,40257,object_id_3365
32470,artistic,5247,Filippo Crivelli,Regista,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32470,artistic,10386,Carlo Rapp,Scenografo,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32470,artistic,8996,Sara Acquarone,Coreografo,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32470,technical,6441,"Teatro Regio, Torino",Parrucche,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32470,technical,7166,"Tirelli, Roma",Sartoria,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32470,technical,7167,"Pompei 2000, Roma",Calzature,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32470,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Imperatore Jones,1976-04-04,1976-04-20,1976,04-04-1976 - 20-04-1976,Torino,Teatro Regio,,object_id_3379
32471,artistic,21073,Carlo Maestrini,Regista,Luisa Miller,1976-05-05,1976-05-25,1976,05-05-1976 - 25-05-1976,Torino,Teatro Regio,40850,object_id_3387
32471,artistic,7220,Eugenio Guglielminetti,"Costumista,Scenografo",Luisa Miller,1976-05-05,1976-05-25,1976,05-05-1976 - 25-05-1976,Torino,Teatro Regio,40850,object_id_3387
32471,technical,6441,"Teatro Regio, Torino",Parrucche,Luisa Miller,1976-05-05,1976-05-25,1976,05-05-1976 - 25-05-1976,Torino,Teatro Regio,40850,object_id_3387
32471,technical,26822,Roberto Devalle,Costumista,Luisa Miller,1976-05-05,1976-05-25,1976,05-05-1976 - 25-05-1976,Torino,Teatro Regio,40850,object_id_3387
32471,technical,8418,"Pedrazzoli, Milano",Calzature,Luisa Miller,1976-05-05,1976-05-25,1976,05-05-1976 - 25-05-1976,Torino,Teatro Regio,40850,object_id_3387
32471,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria,Luisa Miller,1976-05-05,1976-05-25,1976,05-05-1976 - 25-05-1976,Torino,Teatro Regio,40850,object_id_3387
32472,artistic,3753,Maurice Béjart,Coreografo,Ce que l’amour me dit,1976-02-05,1976-02-08,1976,05-02-1976 - 08-02-1976,Monte-Carlo,Opéra de Monte-Carlo,42187,object_id_3399
32472,artistic,10449,Judith Gombar,Costumista,Ce que l’amour me dit,1976-02-05,1976-02-08,1976,05-02-1976 - 08-02-1976,Monte-Carlo,Opéra de Monte-Carlo,42187,object_id_3399
32473,artistic,7506,Renzo Bussotti,"Costumista,Scenografo",Petruška,1976-12-17,1977-03-26,1976,17-12-1976 - 26-03-1977,Torino,Teatro Regio,41903,object_id_3404
32473,technical,6441,"Teatro Regio, Torino",Parrucche,Petruška,1976-12-17,1977-03-26,1976,17-12-1976 - 26-03-1977,Torino,Teatro Regio,41903,object_id_3404
32473,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria,Petruška,1976-12-17,1977-03-26,1976,17-12-1976 - 26-03-1977,Torino,Teatro Regio,41903,object_id_3404
32473,technical,8588,Casa d’arte Cerratelli,Sartoria,Petruška,1976-12-17,1977-03-26,1976,17-12-1976 - 26-03-1977,Torino,Teatro Regio,41903,object_id_3404
32473,technical,6424,"Teatro Comunale, Bologna","Realizzazione,Attrezzeria,Parrucche",Petruška,1976-12-17,1977-03-26,1976,17-12-1976 - 26-03-1977,Torino,Teatro Regio,41903,object_id_3404
32473,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature,Petruška,1976-12-17,1977-03-26,1976,17-12-1976 - 26-03-1977,Torino,Teatro Regio,41903,object_id_3404
32474,artistic,5247,Filippo Crivelli,Regista,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32474,artistic,9259,Giuliana Barabaschi,Coreografo,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32474,artistic,7446,Franco Zeffirelli,Scenografo,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32474,artistic,9260,Peter Hall,Costumista,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32474,technical,6441,"Teatro Regio, Torino",Parrucche,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32474,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32474,technical,7781,"Teatro Massimo, Palermo",Realizzazione,Falstaff,1976-11-18,1976-12-21,1976,18-11-1976 - 21-12-1976,Torino,Teatro Regio,40398,object_id_3416
32475,artistic,9262,Giuseppe Urbani,Coreografo,Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32475,artistic,7506,Renzo Bussotti,"Costumista,Scenografo",Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32475,technical,6441,"Teatro Regio, Torino",Parrucche,Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32475,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria,Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32475,technical,6424,"Teatro Comunale, Bologna","Realizzazione,Attrezzeria,Parrucche",Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32475,technical,8588,Casa d’arte Cerratelli,Sartoria,Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32475,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature,Petruška,1976-12-17,1976-12-30,1976,17-12-1976 - 30-12-1976,Torino,Teatro Regio,42116,object_id_3431
32476,artistic,9333,Maria Francesca Siciliani,Regista,Maria Stuarda,1977-01-07,1977-01-23,1977,07-01-1977 - 23-01-1977,Firenze,Teatro Comunale,40086,object_id_3440
32476,artistic,3918,Pier Luigi Pizzi,"Costumista,Scenografo",Maria Stuarda,1977-01-07,1977-01-23,1977,07-01-1977 - 23-01-1977,Firenze,Teatro Comunale,40086,object_id_3440
32476,technical,6441,"Teatro Regio, Torino",Parrucche,Maria Stuarda,1977-01-07,1977-01-23,1977,07-01-1977 - 23-01-1977,Firenze,Teatro Comunale,40086,object_id_3440
