id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
60503,Teatro Popolare di Roma,32059,interprete
60509,CRT La Fabbrica dell'Attore,31727,interprete
60510,Teatro Stabile di Torino,29693,interprete
60511,Teatro Stabile di Torino,29693,interprete
60512,Teatro Stabile di Torino,29693,interprete
60513,Orchestra Barocca Harmonices Mundi,30581,orchestra
60513,Coro di voci barocche del Teatro Alighieri di Ravenna,30582,coro
60514,Orchestra Barocca Harmonices Mundi,30581,orchestra
60514,Coro di voci barocche del Teatro Alighieri di Ravenna,30582,coro
60515,Teatro Stabile di Catania,29776,interprete
60516,Teatro Stabile di Catania,29776,interprete
60517,Teatro Stabile di Catania,29776,interprete
60518,UMU-Sintesi Musica Cooperativa in Umbria,30584,orchestra
60518,Cooperativa Teatrale dell'Atto,30583,compagnia di prosa
60519,UMU-Sintesi Musica Cooperativa in Umbria,30584,orchestra
60519,Cooperativa Teatrale dell'Atto,30583,compagnia di prosa
60520,UMU-Sintesi Musica Cooperativa in Umbria,30584,orchestra
60520,Cooperativa Teatrale dell'Atto,30583,compagnia di prosa
60522,Teatro d'Arte e Studio,30535,interprete
60529,Piccolo Teatro di Milano/Teatro d'Europa,29788,interprete
60530,Piccolo Teatro di Milano/Teatro d'Europa,29788,interprete
60531,Piccolo Teatro di Milano/Teatro d'Europa,29788,interprete
60532,Piccolo Teatro di Milano/Teatro d'Europa,29788,interprete
60533,Piccolo Teatro di Milano/Teatro d'Europa,29788,interprete
60534,Piccolo Teatro di Milano/Teatro d'Europa,29788,interprete
60539,"Compagnia dialettale ""San Pellegrino""",30569,interprete
60540,Il Gruppo della Rocca,29696,interprete
60541,Il Gruppo della Rocca,29696,interprete
60542,Il Gruppo della Rocca,29696,interprete
60543,Teatro Stabile di Bolzano,29668,interprete
60544,Teatro Stabile di Bolzano,29668,interprete
60545,Teatro Stabile di Bolzano,29668,interprete
60559,Compagnia di prosa di Tino Buazzelli,30552,interprete
60560,Compagnia di prosa di Tino Buazzelli,30552,interprete
60561,Compagnia di prosa di Tino Buazzelli,30552,interprete
60568,Teatro Stabile del Friuli Venezia Giulia,29674,interprete
60569,Teatro Stabile del Friuli Venezia Giulia,29674,interprete
60570,Teatro Stabile del Friuli Venezia Giulia,29674,interprete
60571,Teatro Stabile di Genova,29705,interprete
60572,Teatro Stabile di Genova,29705,interprete
60573,Teatro Stabile di Genova,29705,interprete
60576,Compagnia Paolo Poli,29707,interprete
60577,Compagnia Paolo Poli,29707,interprete
60581,Teatro Stabile di Torino,29693,interprete
60582,Teatro Stabile di Torino,29693,interprete
60583,Teatro Stabile di Torino,29693,interprete
60584,Coro dell'Associazione Teatri Emiliano Romagnoli,18774,coro
60584,Orchestra dell'Associazione Teatri Emiliano Romagnoli,87631,orchestra
60586,"Complesso di canti, musica e danza della Repubblica Democratica del Vietnam",30601,interprete
60587,Il nuovo canzoniere,30517,ensemble/gruppo
60595,Aterballetto,29463,compagnia di balletto/danza
60596,Ballett Frankfurt,29462,compagnia di balletto/danza
60596,Aterballetto,29463,compagnia di balletto/danza
60596,Cullberg Ballet Riksteatern,29467,compagnia di balletto/danza
60596,Hamburg Ballett,30177,compagnia di balletto/danza
60597,Compagnia Italiana di Operette,30121,interprete
60598,Compagnia Italiana di Operette,30121,interprete
60599,Compagnia Italiana di Operette,30121,interprete
60600,Compagnia Italiana di Operette,30121,interprete
60605,Orchestre de Massy,30616,orchestra
60605,Coro del Teatro Helikon di Mosca,23717,coro
60606,Orchestre de Massy,30616,orchestra
60606,Coro del Teatro Helikon di Mosca,23717,coro
60618,Compagnia Simona Bucci,30631,interprete
60619,Nederlands Dans Theater I,29636,compagnia di balletto/danza
60628,Rosaspina Teatro,30642,interprete
60629,Teatro Gioco Vita,29742,interprete
60633,Teatro Il Setaccio,30643,interprete
60634,Laboratorio Teatro Settimo,30644,interprete
60638,Teatro Evento,30647,interprete
60639,Teatro Il Setaccio,30643,interprete
60640,Teatro del Barattolo,30648,interprete
60641,Fondazione AIDA,30649,interprete
60642,Teatro Evento,30647,interprete
60643,Teatro Il Setaccio,30643,interprete
60644,Fondazione AIDA,30649,interprete
60647,Compagnia I Teatranti,31705,interprete
60648,Ballet de l'Opéra National de Bordeaux,30652,interprete
60649,Teatro Il Setaccio,30643,interprete
60650,Tiriteri,30653,interprete
60651,I Pupi di Stac,30651,interprete
60652,Fondazione AIDA,30649,interprete
60653,La Baracca/Teatro Testoni Ragazzi,26723,interprete
60654,Teatro all'Improvviso,30655,interprete
60655,Teatro della Fragola,30656,interprete
60656,I Legnanesi,30659,interprete
60664,Impronte Hip Hop Dance Company,30668,interprete
60665,Balletto di Firenze,30669,compagnia di balletto/danza
60666,Compagnia Sanpapiè,30671,interprete
60668,Aterballetto,29463,compagnia di balletto/danza
60670,Constanza Macras/Dorky Park,30674,interprete
60671,Compagnia Virgilio Sieni Danza,17785,interprete
60682,Orchestra del Teatro Nazionale Sloveno dell'Opera di Lubiana,30374,orchestra
60682,Coro del Teatro Nazionale Sloveno dell'Opera di Lubiana,30376,coro
60683,Orchestra del Teatro Nazionale Sloveno dell'Opera di Lubiana,30374,orchestra
60683,Corpo di ballo del Teatro Nazionale Sloveno dell'Opera di Lubiana,30403,compagnia di balletto/danza
60685,Coro del Teatro Municipale di Reggio Emilia,34353,coro
60685,Orchestra dell'Associazione Teatri Emiliano Romagnoli,87631,orchestra
60686,Complesso di danze di Stato dell'URSS,30015,interprete
60687,Balletto del Teatro Nazionale Slovacco di Bratislava,30398,compagnia di balletto/danza
60688,Balletto del Teatro Nazionale di Sarajevo,30713,compagnia di balletto/danza
60688,Orchestra del Teatro Nazionale di Sarajevo,87636,orchestra
60689,London's Festival Ballet,30711,interprete
60690,Orchestra del Teatro Nazionale Sloveno dell'Opera di Lubiana,30374,orchestra
60690,Coro del Teatro Nazionale Sloveno dell'Opera di Lubiana,30376,coro
60690,Corpo di ballo del Teatro Nazionale Sloveno dell'Opera di Lubiana,30403,compagnia di balletto/danza
