id_recita,curatore_nome,curatore_id,curatore_ruolo
35644,Bruno Casoni,7195,Maestro del coro
35644,Claudio Marino Moretti,7293,Maestro del coro
35645,John Mauceri,7653,Direttore d'orchestra
35645,Bruno Casoni,7195,Maestro del coro
35645,Claudio Marino Moretti,7293,Maestro del coro
35646,Roberto Tolomelli,5895,Direttore d'orchestra
35646,Bruno Casoni,7195,Maestro del coro
35647,Roberto Tolomelli,5895,Direttore d'orchestra
35647,Bruno Casoni,7195,Maestro del coro
35648,Roberto Tolomelli,5895,Direttore d'orchestra
35648,Bruno Casoni,7195,Maestro del coro
35649,Roberto Tolomelli,5895,Direttore d'orchestra
35649,Bruno Casoni,7195,Maestro del coro
35650,Roberto Tolomelli,5895,Direttore d'orchestra
35650,Bruno Casoni,7195,Maestro del coro
35651,Roberto Tolomelli,5895,Direttore d'orchestra
35651,Bruno Casoni,7195,Maestro del coro
35652,Yoram David,7281,Direttore d'orchestra
35652,Bruno Casoni,7195,Maestro del coro
35653,Yoram David,7281,Direttore d'orchestra
35653,Bruno Casoni,7195,Maestro del coro
35654,Yoram David,7281,Direttore d'orchestra
35654,Bruno Casoni,7195,Maestro del coro
35655,Yoram David,7281,Direttore d'orchestra
35655,Bruno Casoni,7195,Maestro del coro
35656,Yoram David,7281,Direttore d'orchestra
35656,Bruno Casoni,7195,Maestro del coro
35657,Yoram David,7281,Direttore d'orchestra
35657,Bruno Casoni,7195,Maestro del coro
35658,Yoram David,7281,Direttore d'orchestra
35658,Bruno Casoni,7195,Maestro del coro
35659,Yoram David,7281,Direttore d'orchestra
35659,Bruno Casoni,7195,Maestro del coro
35660,Martin Fischer-Dieskau,7542,Direttore d'orchestra
35660,Bruno Casoni,7195,Maestro del coro
35661,Martin Fischer-Dieskau,7542,Direttore d'orchestra
35661,Bruno Casoni,7195,Maestro del coro
35662,Martin Fischer-Dieskau,7542,Direttore d'orchestra
35662,Bruno Casoni,7195,Maestro del coro
35663,Martin Fischer-Dieskau,7542,Direttore d'orchestra
35663,Bruno Casoni,7195,Maestro del coro
35664,Martin Fischer-Dieskau,7542,Direttore d'orchestra
35664,Bruno Casoni,7195,Maestro del coro
35665,Martin Fischer-Dieskau,7542,Direttore d'orchestra
35665,Bruno Casoni,7195,Maestro del coro
35666,Fabrizio Carminati,6480,Direttore d'orchestra
35666,Claudio Marino Moretti,7293,Maestro del coro
35667,Fabrizio Carminati,6480,Direttore d'orchestra
35667,Claudio Marino Moretti,7293,Maestro del coro
35668,Fabrizio Carminati,6480,Direttore d'orchestra
35668,Claudio Marino Moretti,7293,Maestro del coro
35669,Fabrizio Carminati,6480,Direttore d'orchestra
35669,Claudio Marino Moretti,7293,Maestro del coro
35670,Fabrizio Carminati,6480,Direttore d'orchestra
35670,Claudio Marino Moretti,7293,Maestro del coro
35671,Fabrizio Carminati,6480,Direttore d'orchestra
35671,Claudio Marino Moretti,7293,Maestro del coro
35672,Nikolaus Harnoncourt,7553,Direttore d'orchestra
35673,Bruno Campanella,4305,Direttore d'orchestra
35673,Bruno Casoni,7195,Maestro del coro
35674,Bruno Campanella,4305,Direttore d'orchestra
35674,Bruno Casoni,7195,Maestro del coro
35675,Bruno Campanella,4305,Direttore d'orchestra
35675,Bruno Casoni,7195,Maestro del coro
35676,Bruno Campanella,4305,Direttore d'orchestra
35676,Bruno Casoni,7195,Maestro del coro
35677,Bruno Campanella,4305,Direttore d'orchestra
35677,Bruno Casoni,7195,Maestro del coro
35678,Bruno Campanella,4305,Direttore d'orchestra
35678,Bruno Casoni,7195,Maestro del coro
35679,Bruno Campanella,4305,Direttore d'orchestra
35679,Bruno Casoni,7195,Maestro del coro
35680,Bruno Campanella,4305,Direttore d'orchestra
35680,Bruno Casoni,7195,Maestro del coro
35681,James Tuggle,7561,Direttore d'orchestra
35682,Glenn Prince,7562,Direttore d'orchestra
35683,James Tuggle,7561,Direttore d'orchestra
35684,James Tuggle,7561,Direttore d'orchestra
35685,Glenn Prince,7562,Direttore d'orchestra
35686,James Tuggle,7561,Direttore d'orchestra
35687,James Tuggle,7561,Direttore d'orchestra
35688,James Tuggle,7561,Direttore d'orchestra
35689,James Tuggle,7561,Direttore d'orchestra
35690,Glenn Prince,7562,Direttore d'orchestra
35691,James Tuggle,7561,Direttore d'orchestra
35692,Evelino Pidò,4005,Direttore d'orchestra
35692,Bruno Casoni,7195,Maestro del coro
35693,Evelino Pidò,4005,Direttore d'orchestra
35693,Bruno Casoni,7195,Maestro del coro
35694,Evelino Pidò,4005,Direttore d'orchestra
35694,Bruno Casoni,7195,Maestro del coro
35695,Evelino Pidò,4005,Direttore d'orchestra
35695,Bruno Casoni,7195,Maestro del coro
35696,Evelino Pidò,4005,Direttore d'orchestra
35696,Bruno Casoni,7195,Maestro del coro
35697,Evelino Pidò,4005,Direttore d'orchestra
35697,Bruno Casoni,7195,Maestro del coro
35698,Evelino Pidò,4005,Direttore d'orchestra
35698,Bruno Casoni,7195,Maestro del coro
35699,Claire Gibault,7610,Direttore d'orchestra
35699,Bruno Casoni,7195,Maestro del coro
35700,Paul Hoskins,7616,Direttore d'orchestra
35701,Paul Hoskins,7616,Direttore d'orchestra
35702,Paul Hoskins,7616,Direttore d'orchestra
35703,Paul Hoskins,7616,Direttore d'orchestra
35704,Paul Hoskins,7616,Direttore d'orchestra
35705,Paul Hoskins,7616,Direttore d'orchestra
35706,John Mauceri,7653,Direttore d'orchestra
35707,Bruno Campanella,4305,Direttore d'orchestra
35707,Bruno Casoni,7195,Maestro del coro
35708,Bruno Campanella,4305,Direttore d'orchestra
35708,Bruno Casoni,7195,Maestro del coro
35709,Bruno Campanella,4305,Direttore d'orchestra
35709,Bruno Casoni,7195,Maestro del coro
35710,Fabrizio Carminati,6480,Direttore d'orchestra
35710,Bruno Casoni,7195,Maestro del coro
35711,Bruno Campanella,4305,Direttore d'orchestra
35711,Bruno Casoni,7195,Maestro del coro
35712,Fabrizio Carminati,6480,Direttore d'orchestra
35712,Bruno Casoni,7195,Maestro del coro
35713,Bruno Campanella,4305,Direttore d'orchestra
35713,Bruno Casoni,7195,Maestro del coro
35714,Bruno Campanella,4305,Direttore d'orchestra
35714,Bruno Casoni,7195,Maestro del coro
35715,Bruno Campanella,4305,Direttore d'orchestra
35715,Bruno Casoni,7195,Maestro del coro
35716,Fabrizio Carminati,6480,Direttore d'orchestra
35716,Bruno Casoni,7195,Maestro del coro
35717,Bruno Campanella,4305,Direttore d'orchestra
35717,Bruno Casoni,7195,Maestro del coro
35718,Bruno Campanella,4305,Direttore d'orchestra
35718,Bruno Casoni,7195,Maestro del coro
35719,Bruno Campanella,4305,Direttore d'orchestra
35719,Bruno Casoni,7195,Maestro del coro
35720,Bruno Campanella,4305,Direttore d'orchestra
35720,Bruno Casoni,7195,Maestro del coro
35721,Peter Maag,4285,Direttore d'orchestra
35721,Bruno Casoni,7195,Maestro del coro
35722,Peter Maag,4285,Direttore d'orchestra
35722,Bruno Casoni,7195,Maestro del coro
35723,Peter Maag,4285,Direttore d'orchestra
35723,Bruno Casoni,7195,Maestro del coro
35724,Peter Maag,4285,Direttore d'orchestra
35724,Bruno Casoni,7195,Maestro del coro
35725,Peter Maag,4285,Direttore d'orchestra
35725,Bruno Casoni,7195,Maestro del coro
35726,Peter Maag,4285,Direttore d'orchestra
35726,Bruno Casoni,7195,Maestro del coro
35727,Peter Maag,4285,Direttore d'orchestra
35727,Bruno Casoni,7195,Maestro del coro
35728,Peter Maag,4285,Direttore d'orchestra
35728,Bruno Casoni,7195,Maestro del coro
35729,Peter Maag,4285,Direttore d'orchestra
35729,Bruno Casoni,7195,Maestro del coro
35730,Dietfried Bernet,3550,Direttore d'orchestra
35730,Bruno Casoni,7195,Maestro del coro
35731,Dietfried Bernet,3550,Direttore d'orchestra
35731,Bruno Casoni,7195,Maestro del coro
35732,Dietfried Bernet,3550,Direttore d'orchestra
35732,Bruno Casoni,7195,Maestro del coro
35733,Dietfried Bernet,3550,Direttore d'orchestra
35733,Bruno Casoni,7195,Maestro del coro
35734,Dietfried Bernet,3550,Direttore d'orchestra
35734,Bruno Casoni,7195,Maestro del coro
35735,Dietfried Bernet,3550,Direttore d'orchestra
35735,Bruno Casoni,7195,Maestro del coro
35736,Dietfried Bernet,3550,Direttore d'orchestra
35736,Bruno Casoni,7195,Maestro del coro
35737,Dietfried Bernet,3550,Direttore d'orchestra
35737,Bruno Casoni,7195,Maestro del coro
35738,Dietfried Bernet,3550,Direttore d'orchestra
35738,Bruno Casoni,7195,Maestro del coro
35739,Bruno Campanella,4305,Direttore d'orchestra
35739,Bruno Casoni,7195,Maestro del coro
35740,Bruno Campanella,4305,Direttore d'orchestra
35740,Bruno Casoni,7195,Maestro del coro
35741,Bruno Campanella,4305,Direttore d'orchestra
35741,Bruno Casoni,7195,Maestro del coro
35742,Bruno Campanella,4305,Direttore d'orchestra
35742,Bruno Casoni,7195,Maestro del coro
