id_recita,esecutore_nome,esecutore_id,esecutore_ruolo
38362,Staatsballett Berlin,27757,Compagnia di danza / corpo di ballo
38363,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38363,Staatsballett Berlin,27757,Compagnia di danza / corpo di ballo
38364,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38364,Staatsballett Berlin,27757,Compagnia di danza / corpo di ballo
38365,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38366,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38367,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38368,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38369,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38369,"Coro del Teatro Regio, Torino",7196,Coro
38370,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38370,"Coro del Teatro Regio, Torino",7196,Coro
38370,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38371,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38371,"Coro del Teatro Regio, Torino",7196,Coro
38371,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38372,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38372,"Coro del Teatro Regio, Torino",7196,Coro
38372,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38373,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38373,"Coro del Teatro Regio, Torino",7196,Coro
38373,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38374,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38374,"Coro del Teatro Regio, Torino",7196,Coro
38375,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38375,"Coro del Teatro Regio, Torino",7196,Coro
38376,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38376,"Coro del Teatro Regio, Torino",7196,Coro
38377,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38377,"Coro del Teatro Regio, Torino",7196,Coro
38377,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
38378,"Orchestra del Teatro Regio, Torino",7197,Orchestra
38378,"Coro di voci bianche del Teatro Regio e del Conservatorio “G. Verdi”, Torino",7222,Coro
