"id";"fullpath";"dcTitle"
"9869";"/Persone/Del Bianco, Tito (9869)";"Del Bianco, Tito"
"9870";"/Persone/Spinelli, Gianfranco (9870)";"Spinelli, Gianfranco"
"9871";"/Persone/Federico, Gennaro Antonio (9871)";"Federico, Gennaro Antonio"
"9872";"/Persone/Schubert, Franz (9872)";"Schubert, Franz"
"9873";"/Persone/Ghitti, Franco (9873)";"Ghitti, Franco"
"9874";"/Persone/Ephrikian, Angelo (9874)";"Ephrikian, Angelo"
"9875";"/Persone/Corridori, Anita (9875)";"Corridori, Anita"
"9876";"/Persone/Calò, Gino (9876)";"Calò, Gino"
"9877";"/Persone/Ercolani, Renato (9877)";"Ercolani, Renato"
"9878";"/Persone/Bergonzi, Carlo (9878)";"Bergonzi, Carlo"
"9879";"/Persone/Glavak, Bozena (9879)";"Glavak, Bozena"
"9880";"/Persone/Dolničar, Vladimir (9880)";"Dolničar, Vladimir"
"9881";"/Persone/Giacosa, Giuseppe (9881)";"Giacosa, Giuseppe"
"9882";"/Persone/Bach, Johann Sebastian (9882)";"Bach, Johann Sebastian"
"9883";"/Persone/Cesari, Renato (9883)";"Cesari, Renato"
"9884";"/Persone/D'Orazi, Attilio (9884)";"D'Orazi, Attilio"
"9885";"/Persone/Adani, Mariella (9885)";"Adani, Mariella"
"9886";"/Persone/Albéniz, Isaac (9886)";"Albéniz, Isaac"
"9887";"/Persone/Grieg, Edvard (9887)";"Grieg, Edvard"
"9888";"/Persone/Fontana, Ferdinando (9888)";"Fontana, Ferdinando"
"9889";"/Persone/Civinini, Guelfo (9889)";"Civinini, Guelfo"
"9890";"/Persone/Zangarini, Carlo (9890)";"Zangarini, Carlo"
"9891";"/Persone/Carturan, Gabriella (9891)";"Carturan, Gabriella"
"9892";"/Persone/Savio, Giuseppe (9892)";"Savio, Giuseppe"
"9893";"/Persone/Masini, Mafalda (9893)";"Masini, Mafalda"
"9894";"/Persone/Pane, Tullio (9894)";"Pane, Tullio"
"9895";"/Persone/Adami, Giuseppe (9895)";"Adami, Giuseppe"
"9896";"/Persone/Mas, Margaret (9896)";"Mas, Margaret"
"9897";"/Persone/Tadeo, Giorgio (9897)";"Tadeo, Giorgio"
"9898";"/Persone/Caccini, Giulio (9898)";"Caccini, Giulio"
"9899";"/Persone/Chopin, Fryderyk (9899)";"Chopin, Fryderyk"
"9900";"/Persone/Tate, Nahum (9900)";"Tate, Nahum"
"9901";"/Persone/Dryden, John (9901)";"Dryden, John"
"9902";"/Persone/Harper, Heather (9902)";"Harper, Heather"
"9903";"/Persone/Pellegrin, Simon-Joseph (9903)";"Pellegrin, Simon-Joseph"
"9904";"/Persone/Colette (9904)";"Colette"
"9905";"/Persone/Paganini, Niccolò (9905)";"Paganini, Niccolò"
"9906";"/Persone/Mendelssohn-Bartholdy, Felix (9906)";"Mendelssohn-Bartholdy, Felix"
"9907";"/Persone/Menuhin, Yehudi (9907)";"Menuhin, Yehudi"
"9908";"/Persone/Corelli, Arcangelo (9908)";"Corelli, Arcangelo"
"9909";"/Persone/Mazzucato, Daniela (9909)";"Mazzucato, Daniela"
"9910";"/Persone/Kozma, Lajos (9910)";"Kozma, Lajos"
"9911";"/Persone/Meano, Cesare (9911)";"Meano, Cesare"
"9912";"/Persone/Chabrier, Emmanuel (9912)";"Chabrier, Emmanuel"
"9913";"/Persone/Schmidt, Giovanni (9913)";"Schmidt, Giovanni"
"9914";"/Persone/Deutekom, Cristina (9914)";"Deutekom, Cristina"
"9915";"/Persone/Garaventa, Ottavio (9915)";"Garaventa, Ottavio"
"9916";"/Persone/Bottazzo, Pietro (9916)";"Bottazzo, Pietro"
"9917";"/Persone/Maddalena, Alessandro (9917)";"Maddalena, Alessandro"
"9918";"/Persone/Sterbini, Cesare (9918)";"Sterbini, Cesare"
"9919";"/Persone/Sor, Fernando Macari (9919)";"Sor, Fernando Macari"
"9920";"/Persone/Brahms, Johannes (9920)";"Brahms, Johannes"
"9921";"/Persone/Sighele, Mietta (9921)";"Sighele, Mietta"
"9922";"/Persone/Luchetti, Veriano (9922)";"Luchetti, Veriano"
"9923";"/Persone/Casarini, Gianfranco (9923)";"Casarini, Gianfranco"
"9924";"/Persone/Muti, Riccardo (9924)";"Muti, Riccardo"
"9925";"/Persone/Rubinštein, Anton (9925)";"Rubinštein, Anton"
"9926";"/Persone/Ricci, Ruggero (9926)";"Ricci, Ruggero"
"9927";"/Persone/Svendsen, Johann Severin (9927)";"Svendsen, Johann Severin"
"9928";"/Persone/Bettinelli, Bruno (9928)";"Bettinelli, Bruno"
"9929";"/Persone/Turina, Joaquin (9929)";"Turina, Joaquin"
"9930";"/Persone/Reger, Max (9930)";"Reger, Max"
"9931";"/Persone/Delestre-Poirson, Charles-Gaspard (9931)";"Delestre-Poirson, Charles-Gaspard"
"9932";"/Persone/Tottola, Leone Andrea (9932)";"Tottola, Leone Andrea"
"9933";"/Persone/Gherardini, Giovanni (9933)";"Gherardini, Giovanni"
"9934";"/Persone/Bellugi, Piero (9934)";"Bellugi, Piero"
"9935";"/Persone/Goitre, Roberto (9935)";"Goitre, Roberto"
"9936";"/Persone/Parada, Claudia (9936)";"Parada, Claudia"
"9937";"/Persone/Pradella, Massimo (9937)";"Pradella, Massimo"
"9938";"/Persone/Grimaldi, Giorgio (9938)";"Grimaldi, Giorgio"
"9939";"/Persone/Rosada, Luciano (9939)";"Rosada, Luciano"
"9940";"/Persone/Bis, Hippolyte-Louis-Florent (9940)";"Bis, Hippolyte-Louis-Florent"
