performance_id,composition_title,start_date,end_date,year,date_text,first_location,first_building,related_compositions,source_id
32835,Don Pasquale,2009-04-14,2009-04-26,2009.0,14-04-2009 - 26-04-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Don Pasquale (40075),object_id_6788
32836,Pikovaja dama,2009-05-21,2009-05-31,2009.0,21-05-2009 - 31-05-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Pikovaja dama (40053),object_id_6798
32837,,2009-06-12,2009-06-19,2009.0,12-06-2009 - 19-06-2009,/Luoghi/Torino (95280),/Edifici/Teatro Carignano (95331),,object_id_6808
32838,Adriana Lecouvreur,2003-06-23,2003-07-08,2003.0,23-06-2003 - 08-07-2003,/Luoghi/Napoli (95281),/Edifici/Teatro di San Carlo (95347),/Composizioni (52556)/Adriana Lecouvreur (40062),object_id_6814
32839,,2008-11-15,2008-11-15,2008.0,15-11-2008 - 15-11-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6833
32840,,2008-12-30,2008-12-31,2008.0,30-12-2008 - 31-12-2008,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6835
32841,,2009-01-12,2009-01-12,2009.0,12-01-2009 - 12-01-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6838
32842,,2009-02-02,2009-02-02,2009.0,02-02-2009 - 02-02-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6840
32843,,2009-02-23,2009-02-23,2009.0,23-02-2009 - 23-02-2009,,,,object_id_6842
32844,,2009-03-16,2009-03-16,2009.0,16-03-2009 - 16-03-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6844
32845,,2009-03-21,2009-03-21,2009.0,21-03-2009 - 21-03-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6846
32846,,2009-04-05,2009-04-06,2009.0,05-04-2009 - 06-04-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6848
32847,,2009-04-27,2009-04-27,2009.0,27-04-2009 - 27-04-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6851
32848,,2009-05-09,2009-05-09,2009.0,09-05-2009 - 09-05-2009,/Luoghi/Torino (95280),/Edifici/Auditorium Giovanni Agnelli - Lingotto (95348),,object_id_6853
32849,"Traviata, La",2009-10-14,2009-10-28,2009.0,14-10-2009 - 28-10-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Traviata, La (40501)",object_id_6860
32850,Tancredi,2009-11-25,2009-12-05,2009.0,25-11-2009 - 05-12-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Tancredi (40410),object_id_6873
32851,"Idomeneo, re di Creta",2010-01-22,2010-01-31,2010.0,22-01-2010 - 31-01-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Idomeneo, re di Creta (40197)",object_id_6898
32852,Peter Grimes,2010-02-24,2010-03-10,2010.0,24-02-2010 - 10-03-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Peter Grimes (40050),object_id_6907
32853,Tannhäuser und der Sängerkrieg auf Wartburg,2010-03-16,2010-03-20,2010.0,16-03-2010 - 20-03-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),/Composizioni (52556)/Tannhäuser und der Sängerkrieg auf Wartburg (41117),object_id_6916
32854,"Elisir d’amore, L’",2010-05-09,2010-05-13,2010.0,09-05-2010 - 13-05-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Elisir d’amore, L’ (40077)",object_id_6936
32855,"Bohème, La",2010-05-21,2010-05-30,2010.0,21-05-2010 - 30-05-2010,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),"/Composizioni (52556)/Bohème, La (40235)",object_id_6940
32856,"Manfred per voce recitante, soprano, mezzosoprano, tenore, quattro bassi, coro e orchestra, op. 115",2010-06-11,2010-06-23,2010.0,11-06-2010 - 23-06-2010,/Luoghi/Torino (95280),/Edifici/Teatro Carignano; Teatro Regio (95349),"/Composizioni (52556)/Manfred per voce recitante, soprano, mezzosoprano, tenore, quattro bassi, coro e orchestra, op. 115 (40983)",object_id_6948
32857,,2009-10-31,2009-10-31,2009.0,31-10-2009 - 31-10-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6960
32858,,2009-11-30,2009-11-30,2009.0,30-11-2009 - 30-11-2009,/Luoghi/Torino (95280),/Edifici/Teatro Regio (95322),,object_id_6962
32859,,2009-12-21,2009-12-21,2009.0,21-12-2009 - 21-12-2009,,,,object_id_6964
