performance_id,credit_type,person_id,person_name,role
33558,technical,6425,"Teatro alla Scala, Milano","Sartoria,Parrucche"
33559,artistic,4895,Marius Petipa,Coreografo
33559,artistic,9000,Nicolaj Beriozov,Coreografo
33559,artistic,8679,Josef Svoboda,Scenografo
33559,artistic,9007,Jan Skalicky,Costumista
33560,artistic,9930,Carlos Saura,"Luci,Regista"
33560,artistic,9931,Antonio Saura,Scenografo
33560,artistic,6781,Antonio Gades,"Luci,Regista"
33561,artistic,4275,Gianfranco De Bosio,Regista
33561,artistic,8596,Attila Kovacs,Scenografo
33561,artistic,4438,Santuzza Calì,Costumista
33561,artistic,8849,Boris Stetka,Assistente alla regia
33561,technical,6441,"Teatro Regio, Torino","Realizzazione,Attrezzeria"
33561,technical,8119,"Spazio Scenico, Roma",Realizzazione
33561,technical,11548,"Gianfranco Re, Torino",Realizzazione
33561,technical,5400,Gabriella Saladino,Attrezzeria
33561,technical,7173,"Farani, Roma",Sartoria
33561,technical,8529,"Biagio, Milano",Calzature
33561,technical,7159,"Mario Audello, Torino",Parrucche
33562,artistic,4275,Gianfranco De Bosio,Regista
33562,artistic,8596,Attila Kovacs,Scenografo
33562,artistic,4438,Santuzza Calì,Costumista
33562,technical,8463,"La Bottega Veneziana, Treviso",Realizzazione
33562,technical,11525,"Teatro Gioco Vita, Piacenza",Attrezzeria
33562,technical,5400,Gabriella Saladino,Attrezzeria
33562,technical,8588,Casa d’arte Cerratelli,Sartoria
33562,technical,8529,"Biagio, Milano",Calzature
33562,technical,7159,"Mario Audello, Torino",Parrucche
33562,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33563,artistic,4876,Egisto Marcucci,Regista
33563,artistic,4774,Uberto Bertacca,"Costumista,Scenografo"
33563,technical,6441,"Teatro Regio, Torino",Attrezzeria
33563,technical,7749,"Mekane, Guidonia (Roma)",Realizzazione
33563,technical,26822,Roberto Devalle,Costumista
33563,technical,7160,"Epoca (di Biagio), Milano",Calzature
33563,technical,7159,"Mario Audello, Torino",Parrucche
33563,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33564,artistic,7177,Lamberto Puggelli,Regista
33564,artistic,8501,Georges Houbiers,Coreografo
33564,artistic,4838,Luisa Spinatelli,"Costumista,Scenografo"
33564,technical,7156,"Teatro di San Carlo, Napoli","Attrezzeria,Sartoria"
33564,technical,7160,"Epoca (di Biagio), Milano",Calzature
33564,technical,7159,"Mario Audello, Torino",Parrucche
33564,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33565,artistic,3950,Enzo Dara,Regista
33565,artistic,3949,Ulisse Santicchi,"Costumista,Scenografo"
33565,artistic,3853,Ivo Guerra,Assistente alla regia
33565,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria
33565,technical,8494,"C.T.C. Centro Telecinematografico Culturale, Milano",Calzature
33565,technical,7159,"Mario Audello, Torino",Parrucche
33566,artistic,8281,Giuliano Montaldo,Regista
33566,artistic,8282,Luciano Ricceri,Scenografo
33566,artistic,5390,Nanà Cecchi,Scenografo
33566,artistic,5349,Ruggero Peruzzi,Costumista
33566,artistic,7487,Vittorio Borrelli,Assistente alla regia
33566,technical,11611,"Teatro Comunale, Firenze",Attrezzeria
33566,technical,10801,"Carlo Rubechini, Firenze",Attrezzeria
33566,technical,10521,"Calzature artistiche Sacchi, Firenze",Calzature
33566,technical,7159,"Mario Audello, Torino",Parrucche
33566,technical,8283,"Rocchetti - Carboni, Roma",Parrucche
33567,artistic,7547,Ugo Gregoretti,Regista
33567,artistic,7220,Eugenio Guglielminetti,"Costumista,Scenografo"
33567,technical,6441,"Teatro Regio, Torino",Realizzazione
33567,technical,11552,"Kirmann, Torino",Sartoria
33567,technical,11553,"Vincenti, Torino",Sartoria
33567,technical,7160,"Epoca (di Biagio), Milano",Calzature
33567,technical,7159,"Mario Audello, Torino",Parrucche
33567,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33568,artistic,21132,Hugo De Ana,"Costumista,Regista,Scenografo"
33568,artistic,25502,Elena Marzoni-Kalabakas,Assistente alla regia
33568,artistic,11394,Álvaro Aguado Zorrilla,Assistente alle scene
33568,artistic,7860,Laura Viglione,Assistente ai costumi
33568,technical,6425,"Teatro alla Scala, Milano",Sartoria
33568,technical,7166,"Tirelli, Roma",Sartoria
33568,technical,7160,"Epoca (di Biagio), Milano",Calzature
33568,technical,7159,"Mario Audello, Torino",Parrucche
33568,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33569,artistic,3713,Roberto De Simone,Regista
33569,artistic,7529,Fabio Sparvoli,Regista
33569,artistic,3727,Mauro Carosi,Scenografo
33569,artistic,3728,Odette Nicoletti,Costumista
33569,technical,8077,"L.C.P., Roma",Calzature
33569,technical,7159,"Mario Audello, Torino",Parrucche
33569,technical,7161,"Rancati, Cornaredo (MI)",Attrezzeria
33570,artistic,7169,Andrea Anfossi,Luci
33570,artistic,7487,Vittorio Borrelli,Regista
33570,artistic,4615,Aldo De Lorenzo,Scenografo
33570,artistic,5114,Zaira De Vincentiis,Costumista
33570,technical,7160,"Epoca (di Biagio), Milano",Calzature
33570,technical,7159,"Mario Audello, Torino",Parrucche
33571,artistic,8141,Oleg Vinogradov,"Coreografo,Regista"
33571,artistic,6892,Simon Virsaladze,"Costumista,Scenografo"
33572,artistic,8023,Kenneth MacMillan,Coreografo
33572,artistic,11410,Monica Parker,Coreografo
33572,artistic,3678,Ezio Frigerio,Scenografo
33572,artistic,3679,Franca Squarciapino,Costumista
33572,technical,11337,"Fondazione San Paolo, Torino",Sponsor
33573,artistic,7487,Vittorio Borrelli,Regista
33573,artistic,8022,Silvano Cova,Scenografo
33573,artistic,7220,Eugenio Guglielminetti,"Costumista,Scenografo"
33573,artistic,7860,Laura Viglione,Costumista
33573,artistic,9738,Luca Ferioli,Luci
33574,artistic,7911,Keith Warner,Regista
33574,artistic,7710,Marie-Jeanne Lecca,"Costumista,Scenografo"
