id;fullpath;published;dcTitle;dcDescription;from;to;datetext;Luogo rappresentazione;Enti collegati;Persone collegate;Recite collegate;Opere musicali collegate;luogo_rappresentazione;luogo_rappresentazione_id;edificio_rappresentazione;edificio_rappresentazione_id;enti_collegati_clean;enti_collegati_id;enti_collegati_ruolo;persone_collegate_clean;persone_collegate_id;persone_collegate_ruolo;recite_collegate_clean;recite_collegate_id;opere_collegate_clean;opere_collegate_id;enti_collegati;persone_collegate;recite_collegate;opere_collegate
56662;/Produzioni/2017 Mamma mia! (56662);1.0;Mamma mia!;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 30941,
        'Nome': 'ATI Il Sistina',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 31201,
        'Nome': 'Peep Arrow Entertainment',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 11186,
        'Nome': 'Piparo, Massimo Romeo',
        'Ruolo': ''
    },
    {
        'Identificativo': 11183,
        'Nome': 'Croce, Roberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 27178,
        'Nome': 'Betona, Cecilia',
        'Ruolo': ''
    },
    {
        'Identificativo': 26854,
        'Nome': 'Ceprani, Daniele',
        'Ruolo': ''
    },
    {
        'Identificativo': 27177,
        'Nome': 'Caruso, Teresa',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62566,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62568,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62569,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62570,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62567,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62762,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62763,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 72982,
        'Nome': 'Mamma mia!',
        'Ruolo': ''
    }
]";;;;;;30941, 31201;produzione, produzione;;11186, 11183, 27178, 26854, 27177;, , , , ;;62566, 62568, 62569, 62570, 62567, 62762, 62763;;72982;ATI Il Sistina, Peep Arrow Entertainment;Massimo Romeo Piparo, Roberto Croce, Cecilia Betona, Daniele Ceprani, Teresa Caruso;Mamma mia!, Mamma mia!, Mamma mia!, Mamma mia!, Mamma mia!, Mamma mia!, Mamma mia!;Mamma mia!
56663;/Produzioni/2017 La regina di ghiaccio (56663);1.0;La regina di ghiaccio;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31409,
        'Nome': 'Viola Produzioni',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 31473,
        'Nome': 'Teatro Brancaccio',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 25276,
        'Nome': 'Colombi, Maurizio',
        'Ruolo': ''
    },
    {
        'Identificativo': 28310,
        'Nome': 'Pivano, Rita',
        'Ruolo': ''
    },
    {
        'Identificativo': 28674,
        'Nome': 'Grossi, Francesca',
        'Ruolo': ''
    },
    {
        'Identificativo': 31550,
        'Nome': 'Chiti, Alessandro',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62571,
        'Nome': 'La regina di ghiaccio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62572,
        'Nome': 'La regina di ghiaccio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62573,
        'Nome': 'La regina di ghiaccio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62574,
        'Nome': 'La regina di ghiaccio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 72983,
        'Nome': 'La regina di ghiaccio',
        'Ruolo': ''
    }
]";;;;;;31409, 31473;produzione, produzione;;25276, 28310, 28674, 31550;, , , ;;62571, 62572, 62573, 62574;;72983;Viola Produzioni, Teatro Brancaccio;Maurizio Colombi, Rita Pivano, Francesca Grossi, Alessandro Chiti;La regina di ghiaccio, La regina di ghiaccio, La regina di ghiaccio, La regina di ghiaccio;La regina di ghiaccio
56664;/Produzioni/Jersey Boys. Il Musical (56664);1.0;Jersey Boys. Il Musical;;;;;[];"[
    {
        'Identificativo': 29722,
        'Nome': 'Teatro Nuovo (Milano)',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 12478,
        'Nome': 'Insegno, Claudio',
        'Ruolo': ''
    },
    {
        'Identificativo': 11738,
        'Nome': 'Longoni, Angelo',
        'Ruolo': ''
    },
    {
        'Identificativo': 17405,
        'Nome': 'Pera, Graziella',
        'Ruolo': ''
    },
    {
        'Identificativo': 29190,
        'Nome': 'Pop, Alin Teodor',
        'Ruolo': ''
    },
    {
        'Identificativo': 18360,
        'Nome': 'Comotti, Roberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 28812,
        'Nome': 'Comotti, Andrea',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62575,
        'Nome': 'Jersey Boys. Il Musical',
        'Ruolo': ''
    },
    {
        'Identificativo': 62576,
        'Nome': 'Jersey Boys. Il Musical',
        'Ruolo': ''
    },
    {
        'Identificativo': 62577,
        'Nome': 'Jersey Boys. Il Musical',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 72984,
        'Nome': 'Jersey Boys. Il Musical',
        'Ruolo': ''
    }
]";;;;;;29722;produzione;;12478, 11738, 17405, 29190, 18360, 28812;, , , , , ;;62575, 62576, 62577;;72984;Teatro Nuovo (Milano);Claudio Insegno, Angelo Longoni, Graziella Pera, Alin Teodor Pop, Roberto Comotti, Andrea Comotti;Jersey Boys. Il Musical, Jersey Boys. Il Musical, Jersey Boys. Il Musical;Jersey Boys. Il Musical
56665;/Produzioni/2018 La Gioconda (56665);1.0;La Gioconda;;2018-03-16;2018-03-16;2018;"[
    {
        'Id': 178,
        'nome': 'Piacenza',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 8713,
        'nome': 'Teatro Municipale',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 29700,
        'Nome': 'Teatro Comunale di Modena',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29714,
        'Nome': 'Teatro Municipale di Piacenza',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 29716,
        'Nome': 'I Teatri di Reggio Emilia',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 29202,
        'Nome': 'Bertolani, Federico',
        'Ruolo': ''
    },
    {
        'Identificativo': 12338,
        'Nome': 'Casadei, Monica',
        'Ruolo': ''
    },
    {
        'Identificativo': 26501,
        'Nome': 'Bettella, Valeria Donata',
        'Ruolo': ''
    },
    {
        'Identificativo': 16848,
        'Nome': 'Baldiserri, Fiammetta',
        'Ruolo': ''
    },
    {
        'Identificativo': 29203,
        'Nome': 'Belli, Andrea',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62578,
        'Nome': 'La Gioconda',
        'Ruolo': ''
    },
    {
        'Identificativo': 62579,
        'Nome': 'La Gioconda',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 71162,
        'Nome': 'La Gioconda',
        'Ruolo': ''
    }
]";Piacenza;178;Teatro Municipale;8713;;29700, 29714, 29716;produzione, produzione, produzione;;29202, 12338, 26501, 16848, 29203;, , , , ;;62578, 62579;;71162;Teatro Comunale di Modena, Teatro Municipale di Piacenza, I Teatri di Reggio Emilia;Federico Bertolani, Monica Casadei, Valeria Donata Bettella, Fiammetta Baldiserri, Andrea Belli;La Gioconda, La Gioconda;La Gioconda
56666;/Produzioni/2017 Robin Hood. Il Musical (56666);1.0;Robin Hood. Il Musical;"Tunnel Produzioni (EN-); Media Produzioni (EN-)";2017-11-03;2017-11-03;2017;"[
    {
        'Id': 4327,
        'nome': 'Fabriano',
        'relazione': 'luogo della prima rappresentazione/esecuzione'
    },
    {
        'Id': 9107,
        'nome': 'Teatro Gentile',
        'relazione': 'edificio della prima rappresentazione/esecuzione'
    }
]";"[
    {
        'Identificativo': 31474,
        'Nome': 'Tunnel Produzioni',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 31475,
        'Nome': 'Media Produzioni',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 27179,
        'Nome': 'Simone, Mauro',
        'Ruolo': ''
    },
    {
        'Identificativo': 25294,
        'Nome': 'Bruce, Gillian',
        'Ruolo': ''
    },
    {
        'Identificativo': 29216,
        'Nome': 'Cicolani, Fabio',
        'Ruolo': ''
    },
    {
        'Identificativo': 29217,
        'Nome': 'Mulazzani, Monica',
        'Ruolo': ''
    },
    {
        'Identificativo': 29218,
        'Nome': 'Cerpolini, Silvia',
        'Ruolo': ''
    },
    {
        'Identificativo': 29219,
        'Nome': 'Vastarella, Dario',
        'Ruolo': ''
    },
    {
        'Identificativo': 29215,
        'Nome': 'Crea, Roberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 29220,
        'Nome': 'Soria, Mariano',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62580,
        'Nome': 'Robin Hood. Il Musical',
        'Ruolo': ''
    },
    {
        'Identificativo': 62582,
        'Nome': 'Robin Hood. Il Musical',
        'Ruolo': ''
    },
    {
        'Identificativo': 62583,
        'Nome': 'Robin Hood. Il Musical',
        'Ruolo': ''
    },
    {
        'Identificativo': 62581,
        'Nome': 'Robin Hood. Il Musical',
        'Ruolo': ''
    }
]";[];Fabriano;4327;Teatro Gentile;9107;;31474, 31475;produzione, produzione;;27179, 25294, 29216, 29217, 29218, 29219, 29215, 29220;, , , , , , , ;;62580, 62582, 62583, 62581;;;Tunnel Produzioni, Media Produzioni;Mauro Simone, Gillian Bruce, Fabio Cicolani, Monica Mulazzani, Silvia Cerpolini, Dario Vastarella, Roberto Crea, Mariano Soria;Robin Hood. Il Musical, Robin Hood. Il Musical, Robin Hood. Il Musical, Robin Hood. Il Musical;
56667;/Produzioni/2018 Gigì. Innamorarsi a Parigi (56667);1.0;Gigì. Innamorarsi a Parigi;;2018-01-01;2018-01-31;2018;[];"[
    {
        'Identificativo': 29548,
        'Nome': 'Compagnia Corrado Abbati',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 26878,
        'Nome': 'Calisi, Cristina',
        'Ruolo': ''
    },
    {
        'Identificativo': 29221,
        'Nome': 'Ješe, Jaro',
        'Ruolo': ''
    },
    {
        'Identificativo': 10570,
        'Nome': 'Abbati, Corrado',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62585,
        'Nome': 'Gigì. \r\nInnamorarsi a Parigi',
        'Ruolo': ''
    },
    {
        'Identificativo': 62584,
        'Nome': 'Gigì. \r\nInnamorarsi a Parigi',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 72986,
        'Nome': 'Gigì. Innamorarsi a Parigi',
        'Ruolo': ''
    }
]";;;;;;29548;produzione;;26878, 29221, 10570;, , ;;62585, 62584;;72986;Compagnia Corrado Abbati;Cristina Calisi, Jaro Ješe, Corrado Abbati;"Gigì. 
Innamorarsi a Parigi, Gigì. 
Innamorarsi a Parigi";Gigì. Innamorarsi a Parigi
56668;/Produzioni/2018 Musica ribelle. La forza dell'amore (56668);1.0;Musica ribelle. La forza dell'amore;TodoModo Music-All (EN-);2018-01-01;2018-01-31;2018;[];"[
    {
        'Identificativo': 31308,
        'Nome': 'TodoModo Music-All',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 27684,
        'Nome': 'Gamba, Emanuele',
        'Ruolo': ''
    },
    {
        'Identificativo': 16994,
        'Nome': 'Niccolini, Francesco',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62586,
        'Nome': 'Musica ribelle. \r\nLa forza dell'amore',
        'Ruolo': ''
    },
    {
        'Identificativo': 62587,
        'Nome': 'Musica ribelle. \r\nLa forza dell'amore',
        'Ruolo': ''
    },
    {
        'Identificativo': 62588,
        'Nome': 'Musica ribelle. \r\nLa forza dell'amore',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 72987,
        'Nome': 'Musica ribelle',
        'Ruolo': ''
    }
]";;;;;;31308;produzione;;27684, 16994;, ;;62586, 62587, 62588;;72987;TodoModo Music-All;Emanuele Gamba, Francesco Niccolini;"Musica ribelle. 
La forza dell'amore, Musica ribelle. 
La forza dell'amore, Musica ribelle. 
La forza dell'amore";Musica ribelle
56669;/Produzioni/2017 Era ieri (56669);1.0;Era ieri;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 30406,
        'Nome': 'Teatro delle Briciole Solares Fondazione delle Arti',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 27048,
        'Nome': 'Baruffini, Beatrice',
        'Ruolo': ''
    },
    {
        'Identificativo': 29239,
        'Nome': 'Bovaia, Andrea',
        'Ruolo': ''
    },
    {
        'Identificativo': 27028,
        'Nome': 'Curà, Emiliano',
        'Ruolo': ''
    },
    {
        'Identificativo': 26964,
        'Nome': 'Carboni, Valerio',
        'Ruolo': ''
    },
    {
        'Identificativo': 29240,
        'Nome': 'Asti, Mario',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62591,
        'Nome': 'Era ieri',
        'Ruolo': ''
    },
    {
        'Identificativo': 62592,
        'Nome': 'Era ieri',
        'Ruolo': ''
    }
]";[];;;;;;30406;produzione;;27048, 29239, 27028, 26964, 29240;, , , , ;;62591, 62592;;;Teatro delle Briciole Solares Fondazione delle Arti;Beatrice Baruffini, Andrea Bovaia, Emiliano Curà, Valerio Carboni, Mario Asti;Era ieri, Era ieri;
56670;/Produzioni/2017 Il paese senza parole (56670);1.0;Il paese senza parole;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31476,
        'Nome': 'Rosso Teatro',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 31477,
        'Nome': 'Atelier Teatro Danza',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 13139,
        'Nome': 'Anglisani, Roberto',
        'Ruolo': ''
    },
    {
        'Identificativo': 29243,
        'Nome': 'Salvischiani, Mirella',
        'Ruolo': ''
    },
    {
        'Identificativo': 29242,
        'Nome': 'Batelli, Marianna',
        'Ruolo': ''
    },
    {
        'Identificativo': 29245,
        'Nome': 'Batelli, Marcello',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62593,
        'Nome': 'Il paese senza parole',
        'Ruolo': ''
    },
    {
        'Identificativo': 62594,
        'Nome': 'Il paese senza parole',
        'Ruolo': ''
    }
]";[];;;;;;31476, 31477;produzione, produzione;;13139, 29243, 29242, 29245;, , , ;;62593, 62594;;;Rosso Teatro, Atelier Teatro Danza;Roberto Anglisani, Mirella Salvischiani, Marianna Batelli, Marcello Batelli;Il paese senza parole, Il paese senza parole;
56671;/Produzioni/La freccia azzurra (56671);1.0;La freccia azzurra;Fondazione AIDA (EN-);;;;[];"[
    {
        'Identificativo': 30649,
        'Nome': 'Fondazione AIDA',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 27587,
        'Nome': 'Pongiluppi, Catia',
        'Ruolo': ''
    },
    {
        'Identificativo': 29247,
        'Nome': 'Roncolato, Marlene',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62595,
        'Nome': 'La freccia azzurra',
        'Ruolo': ''
    },
    {
        'Identificativo': 62603,
        'Nome': 'La freccia azzurra',
        'Ruolo': ''
    },
    {
        'Identificativo': 62604,
        'Nome': 'La freccia azzurra',
        'Ruolo': ''
    }
]";[];;;;;;30649;produzione;;27587, 29247;, ;;62595, 62603, 62604;;;Fondazione AIDA;Catia Pongiluppi, Marlene Roncolato;La freccia azzurra, La freccia azzurra, La freccia azzurra;
56672;/Produzioni/2017 Gli aiutanti di Babbo natale (56672);1.0;Gli aiutanti di Babbo natale;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31476,
        'Nome': 'Rosso Teatro',
        'Ruolo': 'produzione'
    },
    {
        'Identificativo': 31478,
        'Nome': 'Ullalà Teatro',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 29245,
        'Nome': 'Batelli, Marcello',
        'Ruolo': ''
    },
    {
        'Identificativo': 29242,
        'Nome': 'Batelli, Marianna',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62596,
        'Nome': 'Gli aiutanti di Babbo natale',
        'Ruolo': ''
    }
]";[];;;;;;31476, 31478;produzione, produzione;;29245, 29242;, ;;62596;;;Rosso Teatro, Ullalà Teatro;Marcello Batelli, Marianna Batelli;Gli aiutanti di Babbo natale;
56673;/Produzioni/Ma mère l'oye, Mamma oca (56673);1.0;Ma mère l'oye, Mamma oca;Perugia Musica Classica (EN-);;;;[];"[
    {
        'Identificativo': 31435,
        'Nome': 'Perugia Musica Classica',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 28343,
        'Nome': 'Donati, Giorgio',
        'Ruolo': ''
    },
    {
        'Identificativo': 29251,
        'Nome': 'Pontini, Marco',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62598,
        'Nome': 'Ma mère l'oye, Mamma oca',
        'Ruolo': ''
    },
    {
        'Identificativo': 62597,
        'Nome': 'Ma mère l'oye, Mamma oca',
        'Ruolo': ''
    }
]";[];;;;;;31435;produzione;;28343, 29251;, ;;62598, 62597;;;Perugia Musica Classica;Giorgio Donati, Marco Pontini;Ma mère l'oye, Mamma oca, Ma mère l'oye, Mamma oca;
56674;/Produzioni/2017 I tre moschettieri (56674);1.0;I tre moschettieri;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31435,
        'Nome': 'Perugia Musica Classica',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 26883,
        'Nome': 'Ramadori, Leonardo',
        'Ruolo': ''
    },
    {
        'Identificativo': 28344,
        'Nome': 'Frondini, Simone',
        'Ruolo': ''
    },
    {
        'Identificativo': 28343,
        'Nome': 'Donati, Giorgio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62600,
        'Nome': 'I tre moschettieri',
        'Ruolo': ''
    },
    {
        'Identificativo': 62599,
        'Nome': 'I tre moschettieri',
        'Ruolo': ''
    }
]";[];;;;;;31435;produzione;;26883, 28344, 28343;, , ;;62600, 62599;;;Perugia Musica Classica;Leonardo Ramadori, Simone Frondini, Giorgio Donati;I tre moschettieri, I tre moschettieri;
56675;/Produzioni/La gallinella rossa (56675);1.0;La gallinella rossa;Tanti Cosi Progetti (EN-);;;;[];"[
    {
        'Identificativo': 30658,
        'Nome': 'Tanti Cosi Progetti',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 23930,
        'Nome': 'Conti, Danilo',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62605,
        'Nome': 'La gallinella rossa',
        'Ruolo': ''
    },
    {
        'Identificativo': 62606,
        'Nome': 'La gallinella rossa',
        'Ruolo': ''
    },
    {
        'Identificativo': 62602,
        'Nome': 'La gallinella rossa',
        'Ruolo': ''
    },
    {
        'Identificativo': 62601,
        'Nome': 'La gallinella rossa',
        'Ruolo': ''
    }
]";[];;;;;;30658;produzione;;23930;;;62605, 62606, 62602, 62601;;;Tanti Cosi Progetti;Danilo Conti;La gallinella rossa, La gallinella rossa, La gallinella rossa, La gallinella rossa;
56676;/Produzioni/2017 Buio (56676);1.0;Buio;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31298,
        'Nome': 'Scarlattine Teatro',
        'Ruolo': 'produzione'
    }
]";[];"[
    {
        'Identificativo': 62610,
        'Nome': 'Buio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62609,
        'Nome': 'Buio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62608,
        'Nome': 'Buio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62607,
        'Nome': 'Buio',
        'Ruolo': ''
    }
]";[];;;;;;31298;produzione;;;;;62610, 62609, 62608, 62607;;;Scarlattine Teatro;;Buio, Buio, Buio, Buio;
56677;/Produzioni/2017 Fiabesca (56677);1.0;Fiabesca;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31141,
        'Nome': 'Tam Teatro Musica Ideazione',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 26445,
        'Nome': 'Bussolotto, Flavia',
        'Ruolo': ''
    },
    {
        'Identificativo': 26447,
        'Nome': 'Sambin, Michele',
        'Ruolo': ''
    },
    {
        'Identificativo': 28046,
        'Nome': 'Martinello, Alessandro',
        'Ruolo': ''
    },
    {
        'Identificativo': 26450,
        'Nome': 'Fabris, Claudia',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62612,
        'Nome': 'Fiabesca',
        'Ruolo': ''
    },
    {
        'Identificativo': 62611,
        'Nome': 'Fiabesca',
        'Ruolo': ''
    }
]";[];;;;;;31141;produzione;;26445, 26447, 28046, 26450;, , , ;;62612, 62611;;;Tam Teatro Musica Ideazione;Flavia Bussolotto, Michele Sambin, Alessandro Martinello, Claudia Fabris;Fiabesca, Fiabesca;
56678;/Produzioni/Zoo di Pinocchio (56678);1.0;Zoo di Pinocchio;Drammatico Vegetale (EN-);;;;[];"[
    {
        'Identificativo': 31206,
        'Nome': 'Drammatico Vegetale',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 26895,
        'Nome': 'Fenati, Pietro',
        'Ruolo': ''
    },
    {
        'Identificativo': 29252,
        'Nome': 'Bonoli, Alessandro',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62614,
        'Nome': 'Zoo di Pinocchio',
        'Ruolo': ''
    },
    {
        'Identificativo': 62613,
        'Nome': 'Zoo di Pinocchio',
        'Ruolo': ''
    }
]";[];;;;;;31206;produzione;;26895, 29252;, ;;62614, 62613;;;Drammatico Vegetale;Pietro Fenati, Alessandro Bonoli;Zoo di Pinocchio, Zoo di Pinocchio;
56679;/Produzioni/Razza di italiani! (56679);1.0;Razza di italiani!;"Teatro dell&#39;Archivolto, Genova (EN-)";;;;[];"[
    {
        'Identificativo': 29710,
        'Nome': 'Teatro dell'Archivolto',
        'Ruolo': 'produzione'
    }
]";[];"[
    {
        'Identificativo': 62616,
        'Nome': 'Razza di italiani!',
        'Ruolo': ''
    },
    {
        'Identificativo': 62615,
        'Nome': 'Razza di italiani!',
        'Ruolo': ''
    }
]";[];;;;;;29710;produzione;;;;;62616, 62615;;;Teatro dell'Archivolto;;Razza di italiani!, Razza di italiani!;
56680;/Produzioni/2017 Cappuccetto e la nonna (56680);1.0;Cappuccetto e la nonna;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 30766,
        'Nome': 'Giallo Mare Minimal Teatro',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 24401,
        'Nome': 'Pucci, Vania',
        'Ruolo': ''
    },
    {
        'Identificativo': 10240,
        'Nome': 'Diana, Lucio',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62618,
        'Nome': 'Cappuccetto e la nonna',
        'Ruolo': ''
    },
    {
        'Identificativo': 62617,
        'Nome': 'Cappuccetto e la nonna',
        'Ruolo': ''
    }
]";[];;;;;;30766;produzione;;24401, 10240;, ;;62618, 62617;;;Giallo Mare Minimal Teatro;Vania Pucci, Lucio Diana;Cappuccetto e la nonna, Cappuccetto e la nonna;
56681;/Produzioni/Musi lunghi e nervi tesi (56681);1.0;Musi lunghi e nervi tesi;Teatro Pirata, Jesi (EN-);;;;[];"[
    {
        'Identificativo': 30770,
        'Nome': 'Teatro Pirata',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 29256,
        'Nome': 'De Gregorio, Pietro',
        'Ruolo': ''
    },
    {
        'Identificativo': 27601,
        'Nome': 'Guerro, Simone',
        'Ruolo': ''
    },
    {
        'Identificativo': 29257,
        'Nome': 'Sebastianelli, Ilaria',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62640,
        'Nome': 'Musi lunghi e nervi tesi',
        'Ruolo': ''
    },
    {
        'Identificativo': 62641,
        'Nome': 'Musi lunghi e nervi tesi',
        'Ruolo': ''
    },
    {
        'Identificativo': 62619,
        'Nome': 'Musi lunghi e nervi tesi',
        'Ruolo': ''
    }
]";[];;;;;;30770;produzione;;29256, 27601, 29257;, , ;;62640, 62641, 62619;;;Teatro Pirata;Pietro De Gregorio, Simone Guerro, Ilaria Sebastianelli;Musi lunghi e nervi tesi, Musi lunghi e nervi tesi, Musi lunghi e nervi tesi;
56682;/Produzioni/Raggi di luce (56682);1.0;Raggi di luce;Baracca, La (EN-);;;;[];"[
    {
        'Identificativo': 26723,
        'Nome': 'La Baracca/Teatro Testoni Ragazzi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 24360,
        'Nome': 'Frabetti, Valeria',
        'Ruolo': ''
    },
    {
        'Identificativo': 24363,
        'Nome': 'Eick, Tanja',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62621,
        'Nome': 'Raggi di luce - dinamo - energia in movimento',
        'Ruolo': ''
    },
    {
        'Identificativo': 62620,
        'Nome': 'Raggi di luce - dinamo - energia in movimento',
        'Ruolo': ''
    }
]";[];;;;;;26723;produzione;;24360, 24363;, ;;62621, 62620;;;La Baracca/Teatro Testoni Ragazzi;Valeria Frabetti, Tanja Eick;Raggi di luce - dinamo - energia in movimento, Raggi di luce - dinamo - energia in movimento;
56683;/Produzioni/2017 A cup of tea with Shakespeare (56683);1.0;A cup of tea with Shakespeare;;2017-01-01;2017-01-31;2017;[];"[
    {
        'Identificativo': 31432,
        'Nome': 'Charioteer Theater',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 10118,
        'Nome': 'Pasetti, Laura',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62623,
        'Nome': 'A cup of tea with Shakespeare',
        'Ruolo': ''
    },
    {
        'Identificativo': 62622,
        'Nome': 'A cup of tea with Shakespeare',
        'Ruolo': ''
    }
]";[];;;;;;31432;produzione;;10118;;;62623, 62622;;;Charioteer Theater;Laura Pasetti;A cup of tea with Shakespeare, A cup of tea with Shakespeare;
56684;/Produzioni/Una storia sottosopra (56684);1.0;Una storia sottosopra;Baracca, La (EN-);;;;[];"[
    {
        'Identificativo': 26723,
        'Nome': 'La Baracca/Teatro Testoni Ragazzi',
        'Ruolo': 'produzione'
    }
]";"[
    {
        'Identificativo': 24363,
        'Nome': 'Eick, Tanja',
        'Ruolo': ''
    },
    {
        'Identificativo': 24445,
        'Nome': 'Montalbani, Enrico',
        'Ruolo': ''
    }
]";"[
    {
        'Identificativo': 62625,
        'Nome': 'Una storia sottosopra',
        'Ruolo': ''
    },
    {
        'Identificativo': 62624,
        'Nome': 'Una storia sottosopra',
        'Ruolo': ''
    }
]";[];;;;;;26723;produzione;;24363, 24445;, ;;62625, 62624;;;La Baracca/Teatro Testoni Ragazzi;Tanja Eick, Enrico Montalbani;Una storia sottosopra, Una storia sottosopra;
