"id";"recite_collegate";"fullpath";"published"
"53853";"/Recite/28-02-1997 Il visitatore (58550),/Recite/01-03-1997 Il visitatore (58567),/Recite/02-03-1997 Il visitatore (58568)";"/Produzioni/1996 Il visitatore (53853)";"1"
"53854";"/Recite/08-03-1997 La locandiera (58569),/Recite/09-03-1997 La locandiera (58570),/Recite/09-03-1997 La locandiera (58571),/Recite/10-03-1997 La locandiera (58572)";"/Produzioni/1993 La locandiera (53854)";"1"
"53855";"/Recite/03-04-1997 Il giuoco delle parti (58573),/Recite/06-04-1997 Il giuoco delle parti (58576),/Recite/06-04-1997 Il giuoco delle parti (58577),/Recite/05-04-1997 Il giuoco delle parti (58575),/Recite/04-04-1997 Il giuoco delle parti (58574)";"/Produzioni/1996 Il giuoco delle parti (53855)";"1"
"53856";"/Recite/02-11-2000 La vedova allegra (57650),/Recite/04-11-2000 La vedova allegra (57651),/Recite/04-11-2000 La vedova allegra (57652),/Recite/05-11-2000 La vedova allegra (57653),/Recite/07-11-2000 La vedova allegra (57654),/Recite/31-12-2000 La vedova allegra (57689)";"/Produzioni/2000 La vedova allegra (53856)";"1"
"53857";"/Recite/19-11-2000 Sette spose per sette fratelli (57679),/Recite/18-11-2000 Sette spose per sette fratelli (57678),/Recite/17-11-2000 Sette spose per sette fratelli (57676),/Recite/18-11-2000 Sette spose per sette fratelli (57677),/Recite/15-11-2000 Sette spose per sette fratelli (57674),/Recite/16-11-2000 Sette spose per sette fratelli (57675),/Recite/14-11-2000 Sette spose per sette fratelli (57673)";"/Produzioni/1998 Sette spose per sette fratelli (53857)";"1"
"53858";"/Recite/18-01-2001 Madama di Tebe (57697),/Recite/20-01-2001 Madama di Tebe (57698),/Recite/20-01-2001 Madama di Tebe (57699),/Recite/21-01-2001 Madama di Tebe (57700),/Recite/23-01-2001 Madama di Tebe (57701)";"/Produzioni/2000 Madama di Tebe (53858)";"1"
"53859";"/Recite/02-12-2000 Se devi dire una bugia dilla grossa (57680),/Recite/03-12-2000 Se devi dire una bugia dilla grossa (57681)";"/Produzioni/Se devi dire una bugia dilla grossa (53859)";"1"
"53860";"/Recite/20-10-2000 Notte indiana (57638)";"/Produzioni/2000 Notte indiana (53860)";"1"
"53861";"/Recite/29-10-2000 Trisha Brown Company (57643)";"/Produzioni/1964 If you couldn't see me (53861)";"1"
"53862";"/Recite/02-11-2000 Compagnia Zappalà Danza.
Pasolini nell'era di internet (57649)";"/Produzioni/Pasolini nell'era di internet (53862)";"1"
"53863";"/Recite/02-12-2000 Compagnia Artemis Monica Casadei.
Antonio Ligabue (57686)";"/Produzioni/2000 Antonio Ligabue (53863)";"1"
"53864";"/Recite/17-12-2000 Aterballetto.
Sogno di una notte di mezza estate (57688),/Recite/15-12-2000 Aterballetto.
Sogno di una notte di mezza estate (57687),/Recite/18-12-2000 Aterballetto.
Sogno di una notte di mezza estate (63018)";"/Produzioni/2000 Sogno di una notte di mezza estate (53864)";"1"
"53865";"/Recite/28-01-2001 Ballet du Capitole de Toulouse.
La bella addormentata nel bosco (57705),/Recite/30-01-2001 Ballet du Capitole de Toulouse.
La bella addormentata nel bosco (59611),/Recite/29-01-2001 Ballet du Capitole de Toulouse.
La bella addormentata nel bosco (63019)";"/Produzioni/La bella addormentata nel bosco (53865)";"1"
"53866";"/Recite/26-11-2000 Come vi piace (57682),/Recite/27-11-2000 Come vi piace (57683),/Recite/28-11-2000 Come vi piace (57684),/Recite/29-11-2000 Come vi piace (57685)";"/Produzioni/2000 Come vi piace (53866)";"1"
"53867";"/Recite/10-01-2001 Monsieur Malaussène (57690),/Recite/11-01-2001 Monsieur Malaussène (57691),/Recite/12-01-2001 Monsieur Malaussène (57692),/Recite/13-01-2001 Monsieur Malaussène (57693),/Recite/14-01-2001 Monsieur Malaussène (57694)";"/Produzioni/1997 Monsieur Malaussène (53867)";"1"
"53868";"/Recite/19-01-2001 Gli innamorati (57702),/Recite/20-01-2001 Gli innamorati (57703),/Recite/21-01-2001 Gli innamorati (57704)";"/Produzioni/2000 Gl'innamorati (53868)";"1"
